domain,path,type,media_name,state_abbr,countyFIPS,is_local_news_site
crossville-chronicle.com,,newspaper,Crossville Chronicle,TN,47035,
effinghamdailynews.com,,newspaper,Effingham Daily News,IL,17049,
lakeoconeebreeze.net,,newspaper,Lake Oconee Breeze,GA,13133,
ottumwacourier.com,,newspaper,Ottumwa Courier,IA,19179,
oskaloosa.com,,newspaper,Oskaloosa Herald,IA,19123,
clintonherald.com,,newspaper,Clinton Herald,IA,19045,
greensburgdailynews.com,,newspaper,Greensburg Daily News,IN,18031,
goshennews.com,,newspaper,Goshen News,IN,18039,
washtimesherald.com,,newspaper,Washington Times-Herald,IN,18027,
kokomotribune.com,,newspaper,Kokomo Tribune,IN,18067,
reporter.net,,newspaper,The Lebanon Reporter,IN,18011,
pharostribune.com,,newspaper,Pharos-Tribune,IN,18017,
newsandtribune.com,,newspaper,News and Tribune,IN,18019,
tribstar.com,,newspaper,The Tribune Star,IN,18167,
heraldbulletin.com,,newspaper,Herald Bulletin,IN,18095,
commercial-news.com,,newspaper,Commercial-News,IL,17183,
dailyindependent.com,,newspaper,Daily Independent,KY,21019,
thetimestribune.com,,newspaper,Times-Tribune,KY,21235,
sentinel-echo.com,,newspaper,Sentinel-Echo,KY,21125,
richmondregister.com,,newspaper,The Richmond Register,KY,21151,
somerset-kentucky.com,,newspaper,The Commonwealth-Journal,KY,21199,
record-eagle.com,,newspaper,Traverse City Record-Eagle,MI,26055,
times-news.com,,newspaper,Cumberland Times-News,MD,24001,
hgazette.com,,newspaper,The Haverhill Gazette,MA,25009,
salemnews.com,,newspaper,The Salem News,MA,25009,
gloucestertimes.com,,newspaper,Gloucester Daily Times,MA,25009,
newburyportnews.com,,newspaper,The Daily News,MA,25009,
eagletribune.com,,newspaper,The Eagle-Tribune,MA,25009,
andovertownsman.com,,newspaper,Andover Townsman,MA,25009,
rockwallheraldbanner.com,,newspaper,Rockwall County Herald-Banner,TX,48397,
roysecityheraldbanner.com,,newspaper,Royse City Herald-Banner,TX,48397,
corsicanadailysun.com,,newspaper,Corsicana Daily Sun,TX,48349,
weatherforddemocrat.com,,newspaper,Weatherford Democrat,TX,48367,
cleburnetimesreview.com,,newspaper,Cleburne Times-Review,TX,48251,
athensreview.com,,newspaper,Athens Daily Review,TX,48213,
heraldbanner.com,,newspaper,Herald-Banner,TX,48231,
jacksonvilleprogress.com,,newspaper,Jacksonville Progress,TX,48073,
gainesvilleregister.com,,newspaper,Gainesville Daily Register,TX,48097,
itemonline.com,,newspaper,The Huntsville Item,TX,48471,
bdtonline.com,,newspaper,Bluefield Daily Telegraph,WV,54047,
timeswv.com,,newspaper,Times West Virginian,WV,54049,
ptonline.net,,newspaper,Princeton Times,WV,54055,
register-herald.com,,newspaper,The Register Herald,WV,54081,
montgomery-herald.com,,newspaper,Montgomery Herald,WV,54019,
fayettetribune.com,,newspaper,The Fayette Tribune,WV,54019,
springvillejournal.com,,newspaper,Springville Journal,NY,36029,
arlingtonconnection.com,,newspaper,Arlington Connection,VA,51013,
alexandriagazette.com,,newspaper,Alexandria Gazette Packet,VA,51510,
